contestant,target,time,comment,context,episode arc,grouping,place
Detox,self,2:05,"""I can do everything: I act, I sing, I rap, I dance... Let's send the rest of these clowns home.""",confessional,introduction,0,confessional
Detox,self,2:12,"""I've worked with huge celebrities, like Rihanna, Ke$ha, and I'm the Queen Bee, so eat it up... and crown it. You're all fucking welcome.""",confessional,introduction,0,confessional
Roxxxy Andrews,"self, Roxxxy Andrews",2:32,"""Me and Detox started drag together, and I'm just so excited to see her.""",confessional,introduction,1,confessional
Detox,Roxxxy Andrews,2:34,"""You look gorg.""",in situ,introduction,1,
Roxxxy Andrews,Detox,2:35,"""You too""",in situ,introduction,1,
Roxxxy Andrews,self,2:38,"""I'm a pageant girl. Big hair, big makeup: from head to toe, it's a Roxxxy Andrews andrews project""",confessional,introduction,,confessional
Jade Jolie,self,2:50,"""honey, i'm serving up fish, tuna on a platter""",confessional,introduction,,confessional
Jade Jolie,Roxxxy Andrews,2:54,"""You look gorg.""",in situ,introduction,9,
Roxxxy Andrews,Jade Jolie,2:55,"""Thank you, you too""",in situ,introduction,8,
Jade Jolie,self,2:57,"""Jade is bubbly, she laughs a lot. I just like to be fabulous and have fun!""",confessional,introduction,,confessional
Detox,"Roxxxy Andrews, Jade Jolie",3:05,"""Well, you both are going really home early, just so you know.""",in situ,introduction,,
Serena ChaCha,general,3:12,"""This is the best quinceanera present ever!""",in situ,introduction,13,
Detox,Serena ChaCha,,"""It's your quinceanera?""",in situ,introduction,12,
Serena ChaCha,"Detox, Roxxxy Andrews",3:25,"""Automatically, Detox and Roxxxy Andrews were brrrrrrrrrrr... it's a little off-putting... rather, annoying""",confessional,introduction,,confessional
Alyssa Edwards,self,3:46,"""I'm known as the Vanessa Williams of drag, because after winning the title of Miss Gay America, the crown was taken away from me.""",confessional,introduction,,confessional
Jinkx Monsoon,general,,"""You know I can clear the cackling from down the street""",in situ,introduction,,
Jinkx Monsoon,self,4:15,"""My name is Jinkx Monsoon I'm 24 and I'm Seattle youngest MILF.""",confessional,introduction,,confessional
Jinkx Monsoon,self,4:22,"""I'm theatrically trained in the Broadway school of singing""",confessional,introduction,,confessional
Detox,Jinkx Monsoon,4:27,"""I don't know about that Jinx yet, she's a little kooky.""",confessional,introduction,,confessional
Penny Tration,general,,"""Hello my name is Jason and I am 39 years old. I'm here because I was chosen by thousands of people in the online building contest.""",confessional,introduction,,confessional
Penny Tration,general,4:45,"""You guys should be happy to know that everybody actually wanted me here!""",in situ,introduction,,
Penny Tration,self,4:48,"""I hope that me being voted on the show by a lot of people makes the other queens really intimidated""",confessional,introduction,,confessional
Alyssa Edwards,Vivian Pinay,5:04,"""You're giving me pin-up, Kat Von Dee doll.""",in situ,introduction,22,
Vivian Pinay,Alyssa Edwards,5:06,"""Thank you!""",in situ,introduction,21,
Vivian Pinay,self,5:08,"""Vivian is all about glamour. My beauty is everything.""",confessional,introduction,,confessional
Jade Jolie,Vivian Pinay,5:13,"""Vivian's cute... but I'm cuter""",confessional,introduction,,confessional
Alaska,self,5:35,"""My name is Alaska and I'm 27 years old and I also have a very famous boyfriend whose name is Sharon Needles.""",confessional,introduction,,confessional
Roxxxy Andrews,Alaska,5:47,"""This trashbag couture is definitely something else.""",in situ,introduction,,
Alaska,Roxxxy Andrews,5:49,"""Ah, yes, it's a plastic tablecloth.""",in situ,introduction,,
Roxxxy Andrews,Alaska,5:51,:grimace:,in situ,introduction,,
Alyssa Edwards,Alaska,5:52,"""Alaska definitely has big shoes to fill""",confessional,introduction,,confessional
Honey Mahogany,general,,"""Hey sisters!""",in situ,introduction,,
Honey Mahogany,self,,"""My name is Honey Mahogany and I'm 28 years old""",confessional,introduction,,confessional
Detox,Honey Mahogany,6:14,"""Honey Mahogany is like a RuPaul poster... but not quite as polished. sorry about it~! :)""",confessional,introduction,,confessional
Honey Mahogany,general,6:16,"""I think I'm the first queen from San Francisco, actually.""",in situ,introduction,,
unknown,Honey Mahogany,6:19,"""Hello, hippy!""",in situ,introduction,,
Honey Mahogany,self,3:46,"""People get down on San Francisco for being a bunch of hippies, but there's so much beauty there. Have you seen Honey Mahogany?""",confessional,introduction,,confessional
Ivy Winters,general,,"""hey hey hey ladies!""",in situ,introduction,,
Ivy Winters,self,,"""My name is Ivy Winters. I'm 25 years old.""",confessional,introduction,,confessional
Serena ChaCha,Ivy Winters,6:40,"""Your top is awesome, it's so well tailored.""",in situ,introduction,,
Ivy Winters,Serena ChaCha,6:41,"""thank you""",in situ,introduction,,
Ivy Winters,self,6:42,"""I make costumes out of casette tape, paper cups, condoms. I will figure out a way to turn it into a costume.""",confessional,introduction,,confessional
Ivy Winters,general,6:50,"""And I used to work as a clown for like eight years.""",in situ,introduction,,
"Detox, Alaska",Ivy Winters,6:51,"""You still do.""",in situ,introduction,,
Monica Beverly Hillz,general,6:57,"""Hello girls!""",in situ,introduction,,
Monica Beverly Hillz,self,6:58,"""I'm Monica Beverly Hillz, with a zee.""",confessional,introduction,,confessional
Monica Beverly Hillz,self,7:01,"""I'm 27. Monica Beverly Hillz is very good at giving face.""",confessional,introduction,,confessional
Monica Beverly Hillz,general,7:07,"""This might be the fishiest season ever, darlings.""",in situ,introduction,,
Monica Beverly Hillz,self,7:09,"""I have been called ghetto, banjy, trashy... I was raised in the ghetto, you know. I'm very street smart, and there's nothing wrong with that.""",confessional,introduction,,confessional
Lineysha Sparx,self,7:21,"""I am Lineysha Sparx and I'm 24 years old.""",confessional,introduction,,confessional
Lineysha Sparx,self,7:25,"""Lineysha is so fierce, so flawless, so sparkling.""",confessional,introduction,,confessional
Lineysha Sparx,general,7:29,"""I'm very excited to be here, representing Puerto Rico.",in situ,introduction,,
general,Lineysha Sparx,7:33,"""Yeah!""",in situ,introduction,,
Lineysha Sparx,self,,"""Lineysha's in the house, so watch out bitches!""",confessional,introduction,,confessional
?,general,,"""how many more girls?",in situ,introduction,,
?,general,,"""this has to be it. Lucky 13?""",in situ,introduction,,
Coco Montrese,self,,"""I'm Coco Montrese and I'm 37 years old.""",confessional,introduction,,confessional
Alyssa Edwards,Coco Montrese,7:57,"""and then walks in Coco Montrese. The face crack of the century.""",confessional,introduction,,confessional
Coco Montrese,Alyssa Edwards,8:08,"""Alyssa Edwards. What the fuck.""",confessional,introduction,,confessional
Coco Montrese,Alyssa Edwards,8:13,"""Oh, Alyssa Edwards, again.""",in situ,introduction,,
?,general,8:15,"""Here she goes!""",in situ,introduction,,
Vivian Pinay,general,8:16,"""What's the story?""",in situ,introduction,,
Coco Montrese,Alyssa Edwards,8:18,"""Alyssa, you want to tell the story or you want me to tell the story?""",in situ,introduction,,
Alyssa Edwards,general,8:20,"""There's no story!""",in situ,introduction,,
?,Alyssa Edwards,8:21,"""What's the story?!""",in situ,introduction,,
Alyssa Edwards,Coco Montrese,8:22,"""We haven't spoke in two years. The pageant tore our friendship apart.""",confessional,introduction,,confessional
Coco Montrese,Alyssa Edwards,8:27,"""We were close. And I feel like I was bamboozled.""",confessional,introduction,,confessional
Alyssa Edwards,Coco Montrese,8:30,"""Coco was the one back-stabbing me behind my back.""",in situ,introduction,,
Coco Montrese,general,8:33,"""Alyssa and I will have our moment later together, cuz we need a moment.""",in situ,introduction,,
Coco Montrese,Alyssa Edwards,8:37,"""I don't think she wants to talk about. But I want to talk about it. If she doesn't get sent home first.""",confessional,introduction,,confessional
Alyssa Edwards,Coco Montrese,8:46,"""Game on, bitch: the sequel.""",confessional,introduction,,confessional
RuPaul,general,8:55,"""Welcome, my queens. I told you California was the place you oughta be, so you tightened up your tuck, and you flew to Beverly... Hills! Adjacent, that is. So whether you're a Fresh Princess of Bel-Air, a Malibu Barbie, or just serving Real Housewife realness, to get your big break in RuPauliwood, you need to make an even bigger splash and really shake things up.""",recording,SheMail,,
RuPaul,general,9:26,"""Oh, oh my goodness!~ An earthquake! My hair! Oooh~ I think it's the big one. Ooh, faster! faster! Ooh, slower, slower, slower, Ah! Cut!""",recording,SheMail,,
RuPaul,general,9:43,"""Remember, to snatch this crowd, you need to fake it till you make it.""",recording,SheMail,,
RuPaul,general,9:55,"""Hello hello hello~! Welcome to RuPaul's Drag Race!""",in situ,challenge_1,,
RuPaul,general,10:06,"""Now, I chose each of you because I see in you the raw ""Charisma Uniqueness Nerve and Talent"" that it takes to go all the way. In addition to winning the title of America's Next Drag Superstar, the champion of RuPaul's Drag Race will receive: a lifetime supply of Color Evolution Cosmetics, a one-of-a-kind trip courtesy of AlandChuck.Travel and headline Logos outrageous Drag Race Tour featuring Absolut Vodka cocktails perfected and some cash money, honey. Yes, child, to the tune of $100,000.""",in situ,challenge_1,,
Lineysha Sparx,self,10:52,"""Wow, I feel so excited, it's one hundred thousand of dollars. and I want to win that money.""",confessional,challenge_1,,confessional
RuPaul,general,10:59,"""No more kidding around, girls. You're in the entertaint-ment capital of the world. And to make it in RuPauliwood, you've got to dive in the deep end. Are you ready for your closeup?""",in situ,challenge_1,,
RuPaul,Jade Jolie,11:34,"""Hi Jade~""",in situ,challenge_1,,
Jade Jolie,RuPaul,11:35,"""Hey Ru~""",in situ,challenge_1,,
Jade Jolie,self,11:37,"""It's time for our first photoshoot. I am eager to see what the challenge is and i am super nervous.""",confessional,challenge_1,,confessional
RuPaul,Jade Jolie,11:41,"""What do you think is going on right now?""",in situ,challenge_1,,
Jade Jolie,RuPaul,11:45,"""Um, I'm not sure.""",in situ,challenge_1,,
Mike Ruiz,Jade Jolie,11:47,"""Well, turn around~!""",in situ,challenge_1,,
Jade Jolie,general,11:50,"""Oh my gosh, talk about the elephant in the room, didn't see that.",in situ,challenge_1,,
RuPaul,Jade Jolie,11:56,"""Now, say hello to the the amazing Mike Ruiz. Mike is here to shoot your Hollywood Splash Photo. What we're looking for is underwater, serving glamour.""",in situ,challenge_1,,
Mike Ruiz,Jade Jolie,12:06,"""Like, give us fish!""",in situ,challenge_1,,
Jade Jolie,Mike Ruiz,12:08,"""Awesome.""",in situ,challenge_1,,
RuPaul,Jade Jolie,12:09,"""Let's do it!""",in situ,challenge_1,,
Mike Ruiz,Jade Jolie,12:10,"""Today, we're doing an homage to old Hollywood, that's kind of a tribute to old Esther Williams films."" ",in situ,challenge_1,,
RuPaul,Jade Jolie,12:16,"""Please note that there's no pee in the water.""",in situ,challenge_1,,
Mike Ruiz,Jade Jolie,12:19,"""Alright, hit it!""",in situ,challenge_1,,
RuPaul,Jade Jolie,12:22,"""Jade Jolie, you're soaking in it.""",in situ,challenge_1,,
Mike Ruiz,Jade Jolie,12:25,"""Try not to look like you're holding your breath.""",in situ,challenge_1,,
Mike Ruiz,self,12:28,"""Jade would inhale a bunch of air and would hold it all in her cheeks like a chipmunk. That doesn't make for a very pretty glamour shot.""",confessional,challenge_1,,confessional
Mike Ruiz,Jade Jolie,12:34,"""She's giving you parrot fish.""",in situ,challenge_1,,
Jade Jolie,self,12:36,"""I was giving Helen Keller drowning realness.""",confessional,challenge_1,,confessional
RuPaul,general,12:40,"""Oooh, wet and wild.""",in situ,challenge_1,,
RuPaul,Roxxxy Andrews,12:42,"""Roxxxy Andrews!""",in situ,challenge_1,,
Mike Ruiz,Roxxxy Andrews,12:44,"""Hit it!""",in situ,challenge_1,,
Mike Ruiz,Roxxxy Andrews,12:45,"""Acrobatic racegirl gorgeous face glamour!""",in situ,challenge_1,,
RuPaul,Roxxxy Andrews,12:50,"""Oh, she's rolling in the deep!""",in situ,challenge_1,,
RuPaul,Roxxxy Andrews,12:52,"""On the Roxxxy Andrews with a splash.""",in situ,challenge_1,,
RuPaul,Detox,12:54,"""Detox!""",in situ,challenge_1,,
RuPaul,Detox,12:55,"""Give us everything you've got.""",in situ,challenge_1,,
Mike Ruiz,Detox,12:58,"""Yes! It's the bumble-fish""",in situ,challenge_1,,
Mike Ruiz,Detox,13:00,"""Aqua-womana~!""",in situ,challenge_1,,
"RuPaul, Mike Ruiz",Detox,13:02,"""Gorgeous.""",in situ,challenge_1,,
RuPaul,general,13:05,"""Detox fell off the wagon and into the pool.""",in situ,challenge_1,,
RuPaul,Serena ChaCha,13:08,"""Serena ChaCha! The time has come for you to sink, for your life.""",in situ,challenge_1,,
Mike Ruiz,Serena ChaCha,13:15,"""Uno, dos, tres!""",in situ,challenge_1,,
RuPaul,Serena ChaCha,13:17,"""Oh! Oh dear. I can see your seafood platter. Your paella is showing.""",in situ,challenge_1,,
Mike Ruiz,Serena ChaCha,13:24,"""At least Serena was wearing panties.""",in situ,challenge_1,,
RuPaul,Serena ChaCha,13:27,"""Ok, there's a pole, hun. Hold onto the pole.""",in situ,challenge_1,,
Mike Ruiz,Serena ChaCha,13:29,"""Look it! It looks like frog legs.""",in situ,challenge_1,,
Serena ChaCha,general,13:37,"""What the fuck was that about, guys?!""",in situ,challenge_1,,workroom
Alyssa Edwards,Serena ChaCha,13:38,"""It's not your quinceanera anymore, is it?""",in situ,challenge_1,,workroom
Jade Jolie,Serena ChaCha,13:41,"""Your quinceanera is ruined!""",in situ,challenge_1,,workroom
Serena ChaCha,general,13:42,"""I'm not tucked!""",in situ,challenge_1,,workroom
Alyssa Edwards,Serena ChaCha,13:44,"oh, you didn't tuck?!",in situ,challenge_1,,workroom
Serena ChaCha,Alyssa Edwards,13:45,"""I'm not tucked at all. So the dress was doing this [waves dress] the whole time.""",in situ,challenge_1,,workroom
Detox,Serena ChaCha,13:48,"""So, all your bubblegum and everything...""",in situ,challenge_1,,workroom
Alyssa Edwards,Serena ChaCha,13:50,"""So you thought you were being cute today by being comfortable with your non-tuck, and ????? together...""",in situ,challenge_1,,workroom
Alyssa Edwards,self,13:54,"""I'm not a fan of girls who don't tuck. Look like a woman. It's female impersonation at the end of the day.""",confessional,challenge_1,,stage
RuPaul,Alyssa Edwards,14:02,"""Deeper. Don't be so shallow, Alyssa.""",in situ,challenge_1,,stage
RuPaul,Alyssa Edwards,14:06,"""Your legs look like calamari when you do that.""",in situ,challenge_1,,stage
Alyssa Edwards,RuPaul,14:10,"""Okay.""",in situ,challenge_1,,stage
RuPaul,Alyssa Edwards,14:11,::blank look::,in situ,challenge_1,,stage
RuPaul,Alyssa Edwards,14:14,"""Dance underwater!""",in situ,challenge_1,,stage
RuPaul,Alyssa Edwards,14:16,"""Is that dress wash and wear?""",in situ,challenge_1,,stage
RuPaul,Alyssa Edwards,14:20,"""Careful on these wet, slippery surfaces.""",in situ,challenge_1,,stage
RuPaul,general,14:22,"""Oh! Queen down!""",in situ,challenge_1,,stage
Alyssa Edwards,RuPaul,14:24,"""At least I did it gracefully.""",in situ,challenge_1,,stage
RuPaul,general,14:27,"""Very.""",in situ,challenge_1,,stage
RuPaul,Jinkx Monsoon,14:28,"""Jinkx Monsoon, welcome to the drag lagoon!""",in situ,challenge_1,,stage
Jinkx Monsoon,self,14:33,"""I don't know how to swim. I learned how to swim by one of my uncles pushing me off a log, into a river.""",confessional,challenge_1,,confessional
Jinkx Monsoon,self,14:44,"""First time under the water, I lost both of my contacts. i was blinded within seconds.""",confessional,challenge_1,,confessional
RuPaul,Jinkx Monsoon,14:50,"""Okay, you look a little scared underwater.""",confessional,challenge_1,,confessional
RuPaul,Jinkx Monsoon,14:53,"""More pretty face.""",in situ,challenge_1,,stage
Mike Ruiz,Jinkx Monsoon,14:59,"""Okay, too much splashing.""",in situ,challenge_1,,stage
Mike Ruiz,Jinkx Monsoon,15:00,"""Uh oh...""",in situ,challenge_1,,stage
Mike Ruiz,Jinkx Monsoon,15:03,"""You're splashing around--oops.""",in situ,challenge_1,,stage
Mike Ruiz,Jinkx Monsoon,15:08,"""Are you okay?""",in situ,challenge_1,,stage
Jinkx Monsoon,Mike Ruiz,15:11,"""Just a little tangled.""",in situ,challenge_1,,stage
Mike Ruiz,Jinkx Monsoon,15:13,"""I think we're going to have to call it a wrap.""",in situ,challenge_1,,stage
RuPaul,general,15:17,"""Jinkx, there's got to be a morning after.""",in situ,challenge_1,,stage
RuPaul,Penny Tration,15:20,"""Deeper, Penny Tration!""",in situ,challenge_1,,stage
RuPaul,Penny Tration,15:23,"""Girl, you're gonna put Shelley Winters out of work!""",in situ,challenge_1,,stage
RuPaul,Penny Tration,15:27,"""Oh, wait a minute.""",in situ,challenge_1,,stage
Mike Ruiz,Penny Tration,15:29,"""And go.""",in situ,challenge_1,,stage
RuPaul,general,15:30,"""Yes, yes, yes! Poseidon adventure, darling.""",in situ,challenge_1,,stage
Mike Ruiz,Vivian Pinay,15:34,"""Hit it!""",in situ,challenge_1,,stage
RuPaul,general,15:35,"""Serving Wettie Page.""",in situ,challenge_1,,stage
Mike Ruiz,Vivian Pinay,15:37,"""Yes!""",in situ,challenge_1,,stage
RuPaul,general,15:38,"""Touch all of the skin.""",in situ,challenge_1,,stage
RuPaul,general,15:40,"""The filet of Vivian Pinay.""",in situ,challenge_1,,stage
RuPaul,general,15:45,"""Oh, Alaska's underwater. Damn you, global warming!""",in situ,challenge_1,,stage
RuPaul,Alaska,15:51,"""Okay. Yeah, you're head's not going very deep.""",in situ,challenge_1,,stage
Alaska,general,15:52,"""Wha~!""",in situ,challenge_1,,stage
Mike Ruiz,Alaska,15:54,"""And keep your hair out of your face!""",in situ,challenge_1,,stage
Alaska,general,16:00,"""I can't get deep enough. I don't know how to do it!""",in situ,challenge_1,,stage
Mike Ruiz,self,16:04,"""Alaska, she got really frustrated, and it showed.""",confessional,challenge_1,,confessional
Mike Ruiz,Alaska,16:08,"""Push yourself down. Go!""",in situ,challenge_1,,stage
Mike Ruiz,Alaska,16:12,"""No.""",in situ,challenge_1,,stage
RuPaul,Alaska,16:13,"""Nope--on your face.""",in situ,challenge_1,,stage
Alaska,general,16:15,"""Alright, alright. I can't do it. I failed.""",in situ,challenge_1,,stage
RuPaul,Alaska,16:20,"""We will offer you one more dip if you want to take it.""",in situ,challenge_1,,stage
Alaska,RuPaul,16:24,"""I'm sorry.""",in situ,challenge_1,,stage
Alaska,general,16:28,"""That was terrible!""",in situ,challenge_1,,workroom
general,general,16:29,::laughter::,in situ,challenge_1,,workroom
Alaska,self,16:31,"""I can't believe that. I'm in shock.""",confessional,challenge_1,,confessional
Alaska,general,16:34,"""I did so bad!""",in situ,challenge_1,,workroom
Alaska,general,16:36,"""I don't know how to swim.""",in situ,challenge_1,,workroom
Detox,Alaska,16:38,"""Oh, get that.""",in situ,challenge_1,,workroom
Alaska,self,16:39,"""I've completely blown it. I don't know what I'm gonna to do.""",confessional,challenge_1,,confessional
RuPaul,Honey Mahogany,16:43,"""It's Honey Mahogany!""",in situ,challenge_1,,stage
RuPaul,general,16:47,"""Honey, I sunk the kids.""",in situ,challenge_1,,stage
RuPaul,general,16:49,"""Ooh! That was pretty!""",in situ,challenge_1,,stage
RuPaul,Ivy Winters,16:52,"""Ivy Winters!""",in situ,challenge_1,,stage
RuPaul,Ivy Winters,16:54,"""Throwing caution to the wind!""",in situ,challenge_1,,stage
RuPaul,general,16:56,"""Fishy when wet!""",in situ,challenge_1,,stage
RuPaul,Monica Beverly Hillz,16:58,"""Monica Beverly Hillz.""",in situ,challenge_1,,stage
